 &plot nbnd=  49, nks=   401 /
  -16.361  -15.468  -14.403  -13.268  -12.105  -11.027  -10.952  -10.822  -10.498  -10.102
  -10.058   -9.925   -9.852   -9.648   -9.510   -9.292   -8.866   -8.850   -8.843   -8.351
   -8.145   -8.031   -7.794   -7.469   -7.380   -7.214   -7.066   -6.826   -6.814   -6.639
   -6.062   -1.636   -0.950   -0.209   -0.139   -0.063   -0.045    0.097    0.357
            0.000000  0.000000  0.047500
  -22.936  -22.759  -22.477  -22.093  -21.610  -21.032  -20.366  -19.621  -18.826  -18.086
  -16.358  -15.465  -14.401  -13.266  -12.104  -11.022  -10.951  -10.817  -10.493  -10.119
  -10.053   -9.943   -9.855   -9.664   -9.505   -9.310   -8.866   -8.861   -8.849   -8.364
   -8.140   -8.046   -7.799   -7.487   -7.375   -7.219   -7.083   -6.842   -6.821   -6.635
   -6.057   -1.637   -0.951   -0.204   -0.133   -0.058   -0.045    0.102    0.363
            0.000000  0.000000  0.050000
  -22.932  -22.754  -22.473  -22.089  -21.606  -21.028  -20.361  -19.617  -18.822  -18.083
  -16.354  -15.462  -14.398  -13.263  -12.102  -11.017  -10.952  -10.812  -10.488  -10.138
  -10.048   -9.961   -9.858   -9.681   -9.500   -9.328   -8.883   -8.856   -8.855   -8.378
   -8.135   -8.062   -7.805   -7.506   -7.370   -7.223   -7.101   -6.858   -6.828   -6.630
   -6.052   -1.638   -0.952   -0.198   -0.128   -0.052   -0.046    0.107    0.369
            0.000000  0.000000  0.052500
  -22.927  -22.750  -22.468  -22.085  -21.601  -21.023  -20.357  -19.613  -18.818  -18.079
  -16.350  -15.458  -14.395  -13.261  -12.101  -11.011  -10.952  -10.807  -10.483  -10.157
  -10.043   -9.981   -9.862   -9.699   -9.495   -9.346   -8.901   -8.862   -8.851   -8.392
   -8.130   -8.079   -7.811   -7.526   -7.365   -7.228   -7.119   -6.875   -6.836   -6.624
   -6.046   -1.640   -0.953   -0.192   -0.122   -0.047   -0.046    0.113    0.375
            0.000000  0.000000  0.055000
  -22.922  -22.745  -22.464  -22.080  -21.597  -21.019  -20.353  -19.609  -18.814  -18.075
  -16.346  -15.455  -14.392  -13.259  -12.099  -11.006  -10.952  -10.801  -10.477  -10.178
  -10.037  -10.001   -9.866   -9.717   -9.490   -9.366   -8.919   -8.870   -8.846   -8.407
   -8.125   -8.096   -7.818   -7.546   -7.360   -7.234   -7.138   -6.893   -6.844   -6.619
   -6.040   -1.641   -0.955   -0.186   -0.116   -0.046   -0.041    0.119    0.381
            0.000000  0.000000  0.057500
