 &plot nbnd=  13, nks=   401 /
            0.000000  0.000000  0.372500
  -19.720  -17.262  -15.613  -13.275  -12.591   -9.999   -9.837   -7.410   -4.820   -2.602
    0.458    2.021    2.478
            0.000000  0.000000  0.375000
  -19.689  -17.232  -15.655  -13.320  -12.571   -9.993   -9.863   -7.377   -4.786   -2.640
    0.411    2.051    2.507
            0.000000  0.000000  0.377500
  -19.658  -17.202  -15.697  -13.365  -12.551   -9.987   -9.890   -7.344   -4.752   -2.678
    0.364    2.081    2.536
            0.000000  0.000000  0.380000
  -19.627  -17.171  -15.740  -13.410  -12.531   -9.981   -9.917   -7.310   -4.717   -2.717
    0.317    2.112    2.565
            0.000000  0.000000  0.382500
  -19.595  -17.141  -15.783  -13.454  -12.510   -9.975   -9.945   -7.277   -4.683   -2.755
    0.270    2.143    2.593
            0.000000  0.000000  0.385000
  -19.564  -17.110  -15.825  -13.499  -12.489   -9.973   -9.968   -7.244   -4.648   -2.793
    0.224    2.174    2.621
            0.000000  0.000000  0.387500
  -19.532  -17.080  -15.868  -13.544  -12.467  -10.000   -9.963   -7.210   -4.614   -2.832
    0.177    2.205    2.649
            0.000000  0.000000  0.390000
  -19.500  -17.049  -15.911  -13.588  -12.445  -10.027   -9.957   -7.177   -4.579   -2.870
    0.131    2.237    2.676
            0.000000  0.000000  0.392500
  -19.468  -17.018  -15.954  -13.633  -12.423  -10.054   -9.951   -7.144   -4.545   -2.908
    0.085    2.269    2.702
            0.000000  0.000000  0.395000
  -19.436  -16.986  -15.997  -13.677  -12.400  -10.082   -9.946   -7.110   -4.510   -2.946
    0.039    2.301    2.728
            0.000000  0.000000  0.397500
  -19.403  -16.955  -16.040  -13.721  -12.377  -10.110   -9.940   -7.077   -4.475   -2.985
   -0.007    2.333    2.754
            0.000000  0.000000  0.400000
  -19.371  -16.923  -16.083  -13.765  -12.354  -10.138   -9.935   -7.044   -4.441   -3.023
   -0.052    2.366    2.779
            0.000000  0.000000  0.402500
  -19.338  -16.892  -16.126  -13.809  -12.331  -10.166   -9.930   -7.010   -4.406   -3.061
   -0.097    2.399    2.803
            0.000000  0.000000  0.405000
  -19.305  -16.860  -16.168  -13.853  -12.307  -10.194   -9.924   -6.977   -4.372   -3.099
   -0.142    2.432    2.826
            0.000000  0.000000  0.407500
  -19.272  -16.828  -16.211  -13.896  -12.283  -10.222   -9.919   -6.944   -4.338   -3.136
   -0.187    2.465    2.849
            0.000000  0.000000  0.410000
  -19.239  -16.796  -16.254  -13.940  -12.259  -10.250   -9.914   -6.911   -4.304   -3.174
   -0.231    2.498    2.871
            0.000000  0.000000  0.412500
  -19.206  -16.763  -16.297  -13.983  -12.235  -10.278   -9.909   -6.878   -4.269   -3.211
   -0.275    2.532    2.893
            0.000000  0.000000  0.415000
  -19.173  -16.731  -16.339  -14.027  -12.210  -10.307   -9.904   -6.846   -4.235   -3.249
   -0.319    2.566    2.913
            0.000000  0.000000  0.417500
  -19.139  -16.698  -16.382  -14.070  -12.186  -10.335   -9.900   -6.813   -4.202   -3.286
   -0.362    2.600    2.933
            0.000000  0.000000  0.420000
  -19.106  -16.666  -16.424  -14.112  -12.161  -10.364   -9.895   -6.781   -4.168   -3.322
   -0.405    2.635    2.952
            0.000000  0.000000  0.422500
  -19.072  -16.633  -16.466  -14.155  -12.135  -10.392   -9.891   -6.749   -4.135   -3.359
   -0.447    2.670    2.970
            0.000000  0.000000  0.425000
  -19.038  -16.600  -16.508  -14.198  -12.110  -10.421   -9.886   -6.717   -4.101   -3.395
   -0.489    2.704    2.988
            0.000000  0.000000  0.427500
  -19.005  -16.567  -16.550  -14.240  -12.085  -10.449   -9.882   -6.685   -4.068   -3.430
   -0.530    2.739    3.004
            0.000000  0.000000  0.430000
